Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",C_0603_HandSolder,4,100nF,C14663 
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D6, D7, D8, D9",D_SOD-123,58,D_Small,C81598 
"R1, R2, R4, R5",R_0603_HandSolder,4,5.1k,C23186 
"R3, R6",R_0603_HandSolder,2,10k,C25804 
"U1, U3",SOT-23-6,2,USBLC6-2SC6,C2687116
"U2, U4",TSSOP-20_4.4x6.5mm_P0.65mm,2,~,C111367
